================================================================================
PROFILING RESULTS - SORTED BY CUMULATIVE TIME
================================================================================

         19679018 function calls (17996283 primitive calls) in 784.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      451    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_model_construction.py:284(__getattr__)
      580    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic_core/core_schema.py:4332(_dict_not_none)
        1    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/utils.py:333(_screen_shape_linux)
        5    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/std.py:464(format_meter)
       57    0.000    0.000    0.000    0.000 {built-in method torch.exp}
      745    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/utils/_python_dispatch.py:428(is_traceable_wrapper_subclass)
       34    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/linear.py:43(__init__)
       14    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/functional.py:493(_meshgrid)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/linecache.py:102(updatecache)
      322    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1368(__setattr__)
     1197    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_fields.py:286(<genexpr>)
       14    0.000    0.000    0.000    0.000 {built-in method torch.arange}
       20    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       88    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/numpy/core/fromnumeric.py:1332(searchsorted)
    109/7    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
    109/7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.13/copy.py:248(_reconstruct)
       14    0.000    0.000    0.000    0.000 {built-in method torch._C._fft.fft_fftfreq}
      181    0.000    0.000    0.000    0.000 /usr/lib/python3.13/dataclasses.py:1331(is_dataclass)
      171    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_typing_extra.py:439(eval_type_backport)
       34    0.000    0.000    0.000    0.000 {method 'transpose' of 'torch._C.TensorBase' objects}
      314    0.000    0.000    0.000    0.000 /usr/lib/python3.13/_weakrefset.py:21(__enter__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:456(SDFCausalityConfig)
       34    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/dataset/pipeline.py:795(_sample_ic_type)
       32    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/dataset.py:606(dtype)
      262    0.000    0.000    0.000    0.000 /usr/lib/python3.13/contextlib.py:145(__exit__)
      207    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/fields.py:666(_collect_metadata)
      262    0.000    0.000    0.000    0.000 /usr/lib/python3.13/contextlib.py:303(helper)
     1405    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/utils.py:32(<genexpr>)
       45    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_core_utils.py:65(get_type_ref)
      745    0.000    0.000    0.000    0.000 {built-in method torch._has_compatible_shallow_copy_type}
      171    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_core_metadata.py:47(update_core_metadata)
       95    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:3042(__init__)
        7    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/selections.py:19(select)
      242    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/__init__.py:382(_lazy_init)
        5    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/std.py:457(print_status)
     1766    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      790    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/amp/autocast_mode.py:371(__enter__)
      171    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_typing_extra.py:485(_eval_type_backport)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/dataset/storage.py:392(write_metadata)
     1096    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_schema_gather.py:63(traverse_metadata)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      171    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_fields.py:70(_check_protected_namespaces)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:970(parse)
      797    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_config.py:153(__getattr__)
      373    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:336(SDFCrossChannelConfig)
      194    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:889(_generate_schema_from_get_schema_method)
       25    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/main.py:999(__getattr__)
       51    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1307(__init__)
       34    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/init.py:213(uniform_)
       99    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:1779(_check_class)
      156    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/fields.py:759(rebuild_annotation)
       20    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_decorators.py:239(build)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/extractors.py:35(SDFExtractor)
        7    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/base.py:281(file)
       14    0.000    0.000    0.000    0.000 {built-in method torch.meshgrid}
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1634(__getitem__)
       26    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_config.py:162(core_config)
      215    0.000    0.000    0.000    0.000 {method 'zero_' of 'torch._C.TensorBase' objects}
      171    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/typing_inspection/introspection.py:578(_unpack_annotated)
      623    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/memory.py:578(max_memory_reserved)
      171    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_typing_extra.py:515(_eval_type)
       62    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      3/2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:451(_parse_sub)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:520(SDFInvariantDriftConfig)
      861    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      373    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:1805(_shadowed_dict)
      171    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:281(_extract_json_schema_info_from_field_info)
       15    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1658(copy_with)
       21    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       34    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/init.py:68(_no_grad_uniform_)
      174    0.000    0.000    0.000    0.000 {built-in method torch._C._cuda_getDevice}
      171    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic_core/core_schema.py:2500(with_default_schema)
      171    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic_core/core_schema.py:3065(model_field)
      309    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_model_construction.py:56(__setitem__)
        5    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:1150(_match_generic_type)
       88    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
      399    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1294(_is_dunder)
      6/2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:511(_parse)
        5    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/utils.py:378(disp_len)
      779    0.000    0.000    0.000    0.000 {method 'is_floating_point' of 'torch._C.TensorBase' objects}
       79    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:315(_acquire_restore)
      262    0.000    0.000    0.000    0.000 /usr/lib/python3.13/contextlib.py:108(__init__)
       50    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:2703(get_schema_or_ref)
     2015    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/_jit_internal.py:106(is_scripting)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:301(SDFMultiscaleConfig)
     1158    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
       80    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:306(__exit__)
      171    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_fields.py:183(update_field_from_config)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:812(Literal)
       14    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/dataset.py:720(__init__)
        1    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/std.py:1138(__exit__)
       68    0.000    0.000    0.000    0.000 {built-in method torch.set_autocast_enabled}
        2    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/std.py:1265(close)
      158    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/std.py:1157(__hash__)
        5    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/utils.py:374(_text_width)
       51    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:260(_collect_type_parameters)
       13    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/dataset/pipeline.py:125(_get_or_create_policy)
       35    0.000    0.000    0.000    0.000 /usr/lib/python3.13/random.py:458(choices)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:64(SDFSpectralConfig)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       21    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:2267(Annotated)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
       86    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      513    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:240(filter_field_decorator_info_by_field)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:401(SDFOperatorSensitivityConfig)
      461    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       34    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/__init__.py:535(__exit__)
        4    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/group.py:42(create_group)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      129    0.000    0.000    0.000    0.000 {built-in method time.time}
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     1213    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      114    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/sampling/sobol.py:164(sample)
       63    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:176(get_annotations)
        5    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:383(_list_schema)
       94    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:164(_type_convert)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      278    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:695(__call__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:576(_code)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/tokenize.py:451(open)
        2    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/numpy/lib/function_base.py:398(average)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/registry.py:66(FeatureRegistry)
  192/171    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:463(_eval_type)
       81    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:318(_is_owned)
        7    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/filters.py:151(fill_dcpl)
      342    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:2838(push)
      470    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:187(SDFStructuralConfig)
     1658    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/__future__.py:68(get_swap_module_params_on_conversion)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:2226(__init__)
      289    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/utils.py:375(<genexpr>)
      133    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic_core/core_schema.py:589(bool_schema)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/synchronize.py:193(__init__)
       53    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/spatial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/synchronize.py:50(__init__)
       60    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:789(<genexpr>)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:2105(_signature_bound_method)
       26    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_model_construction.py:337(__pydantic_fields_complete__)
      2/1    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/std.py:663(__new__)
      314    0.000    0.000    0.000    0.000 /usr/lib/python3.13/_weakrefset.py:17(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1318(create_module)
      199    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_utils.py:104(lenient_issubclass)
        7    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/dataset.py:532(shape)
        3    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/group.py:518(__contains__)
       99    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:1770(_check_instance)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
       34    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/base.py:176(_e)
      578    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      704    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1748(__getitem__)
      2/1    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/_monitor.py:30(__init__)
       13    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_config.py:98(for_model)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/rollout/policies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/spatial.py:22(SpatialFeatureExtractor)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:106(SDFDistributionalConfig)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:141(SDFTemporalConfig)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/synchronize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:261(SDFMorphologicalConfig)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1023(__init__)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/rollout/trajectory.py:1(<module>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
      102    0.000    0.000    0.000    0.000 {built-in method torch.get_autocast_dtype}
      315    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:228(SDFPhysicsConfig)
       14    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/selections.py:275(broadcast)
       72    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:764(unwrap)
        8    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/base.py:102(array_for_new_object)
      391    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1437(__eq__)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/operator_sensitivity.py:1(<module>)
       77    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1358(__getattr__)
        3    0.000    0.000    0.000    0.000 {method 'mean' of 'numpy.ndarray' objects}
       34    0.000    0.000    0.000    0.000 {built-in method torch._C._cuda_maybeExchangeDevice}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
        7    0.000    0.000    0.000    0.000 {built-in method torch.atan2}
       14    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/h5py/_hl/selections.py:236(expand_shape)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      156    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_utils.py:122(is_valid_identifier)
      342    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_fields.py:618(is_valid_privateattr_name)
        3    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/numpy/core/_methods.py:101(_mean)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/invariant_drift.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       36    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/cross_channel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/spectral.py:1(<module>)
       81    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:303(__enter__)
       15    0.000    0.000    0.000    0.000 /usr/lib/python3.13/dataclasses.py:768(_get_field)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/json/__init__.py:183(dumps)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.13/inspect.py:310(ismethoddescriptor)
      828    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/fields.py:257(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/operator_sensitivity.py:26(OperatorSensitivityExtractor)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/causality.py:1(<module>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.000    0.000 /home/daniel/projects/spinlock/src/spinlock/features/sdf/temporal.py:1(<module>)
       23    0.000    0.000    0.000    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_decorators.py:814(count_positional_required_params)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       68    0.000    0.000    0.000    0.000 {built-in method torch.set_autocast_dtype}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
