================================================================================
PROFILING RESULTS - SORTED BY CUMULATIVE TIME
================================================================================

         19679018 function calls (17996283 primitive calls) in 784.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13473    1.527    0.000    1.527    0.000 /home/daniel/projects/spinlock/src/spinlock/rollout/policies.py:119(update)
       34    0.000    0.000    1.086    0.032 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/__init__.py:1073(synchronize)
       34    1.084    0.032    1.084    0.032 {built-in method torch._C._cuda_synchronize}
        6    0.901    0.150    0.901    0.150 {method 'cpu' of 'torch._C.TensorBase' objects}
   407184    0.126    0.000    0.899    0.000 /usr/lib/python3.13/traceback.py:363(_dedented_lines)
   203592    0.154    0.000    0.747    0.000 /usr/lib/python3.13/textwrap.py:419(dedent)
   407184    0.186    0.000    0.728    0.000 /usr/lib/python3.13/traceback.py:371(line)
   107500    0.049    0.000    0.653    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/dropout.py:172(forward)
   107500    0.367    0.000    0.603    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/functional.py:1496(dropout2d)
   814368    0.221    0.000    0.460    0.000 /usr/lib/python3.13/traceback.py:342(_set_lines)
   101796    0.089    0.000    0.456    0.000 /usr/lib/python3.13/linecache.py:66(checkcache)
       34    0.450    0.013    0.450    0.013 {built-in method torch.cat}
   938474    0.405    0.000    0.405    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:1951(__getattr__)
   101876    0.361    0.000    0.361    0.000 {built-in method posix.stat}
   203637    0.079    0.000    0.327    0.000 /usr/lib/python3.13/re/__init__.py:183(sub)
   203592    0.153    0.000    0.299    0.000 /usr/lib/python3.13/textwrap.py:470(indent)
   779000    0.270    0.000    0.270    0.000 {built-in method torch._C._get_tracing_state}
   407234    0.263    0.000    0.263    0.000 {method 'sub' of 're.Pattern' objects}
    33932    0.038    0.000    0.231    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/random.py:115(manual_seed_all)
   220558    0.051    0.000    0.229    0.000 /usr/lib/python3.13/traceback.py:445(extended_frame_gen)
       34    0.001    0.000    0.228    0.007 /home/daniel/projects/spinlock/src/spinlock/operators/builder.py:193(build_simple_cnn)
      215    0.001    0.000    0.213    0.001 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:112(__init__)
    33932    0.052    0.000    0.193    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/__init__.py:338(_lazy_call)
      281    0.001    0.000    0.190    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/conv.py:496(__init__)
      281    0.002    0.000    0.188    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/conv.py:87(__init__)
       66    0.000    0.000    0.188    0.003 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:184(__init__)
   220558    0.178    0.000    0.178    0.000 /usr/lib/python3.13/traceback.py:380(walk_stack)
      281    0.000    0.000    0.170    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/conv.py:179(reset_parameters)
      281    0.001    0.000    0.169    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/init.py:511(kaiming_uniform_)
   203592    0.095    0.000    0.167    0.000 /usr/lib/python3.13/linecache.py:22(getline)
      315    0.166    0.001    0.166    0.001 {method 'uniform_' of 'torch._C.TensorBase' objects}
  1643841    0.147    0.000    0.147    0.000 {method 'append' of 'list' objects}
   203637    0.100    0.000    0.134    0.000 /usr/lib/python3.13/re/__init__.py:330(_compile)
    17174    0.016    0.000    0.126    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/__init__.py:163(is_available)
   107500    0.103    0.000    0.122    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/functional.py:2826(_verify_spatial_size)
    33932    0.037    0.000    0.121    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/random.py:126(cb)
   107500    0.120    0.000    0.120    0.000 {built-in method torch.feature_dropout}
   215630    0.119    0.000    0.119    0.000 {method 'size' of 'torch._C.TensorBase' objects}
   203592    0.119    0.000    0.119    0.000 {method 'findall' of 're.Pattern' objects}
   124500    0.061    0.000    0.097    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/container.py:237(__iter__)
    17174    0.012    0.000    0.094    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/__init__.py:159(_nvml_based_avail)
    16966    0.016    0.000    0.091    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/random.py:88(_seed_custom_device)
   610988    0.086    0.000    0.086    0.000 {method 'join' of 'str' objects}
   430630    0.085    0.000    0.085    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
   107500    0.048    0.000    0.082    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/instancenorm.py:315(_check_input_dim)
    17187    0.011    0.000    0.082    0.000 <frozen os>:811(getenv)
   203603    0.082    0.000    0.082    0.000 {method 'format' of 'str' objects}
72509/72485    0.041    0.000    0.078    0.000 {built-in method builtins.hasattr}
   203592    0.055    0.000    0.074    0.000 /usr/lib/python3.13/traceback.py:293(__init__)
    16966    0.045    0.000    0.074    0.000 /usr/lib/python3.13/traceback.py:503(from_list)
   107514    0.049    0.000    0.073    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/_VF.py:27(__getattr__)
   610776    0.073    0.000    0.073    0.000 {method 'strip' of 'str' objects}
   203592    0.056    0.000    0.073    0.000 /usr/lib/python3.13/linecache.py:184(lazycache)
827398/827324    0.072    0.000    0.072    0.000 {built-in method builtins.len}
    17187    0.018    0.000    0.071    0.000 <frozen _collections_abc>:808(get)
    50898    0.070    0.000    0.070    0.000 {method 'manual_seed' of 'torch._C.Generator' objects}
516616/497803    0.058    0.000    0.069    0.000 {built-in method builtins.isinstance}
       34    0.000    0.000    0.063    0.002 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:1244(to)
  1658/34    0.009    0.000    0.063    0.002 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:927(_apply)
   407184    0.058    0.000    0.058    0.000 {method 'partition' of 'str' objects}
   203592    0.043    0.000    0.056    0.000 /usr/lib/python3.13/linecache.py:32(getlines)
   203592    0.037    0.000    0.056    0.000 /usr/lib/python3.13/textwrap.py:483(<lambda>)
   493356    0.054    0.000    0.054    0.000 {method 'get' of 'dict' objects}
       62    0.053    0.001    0.053    0.001 {built-in method torch.zeros}
    17188    0.033    0.000    0.053    0.000 <frozen os>:712(__getitem__)
   107500    0.023    0.000    0.051    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/backends/__init__.py:41(__get__)
       25    0.000    0.000    0.050    0.002 /home/daniel/projects/spinlock/src/spinlock/dataset/generators.py:110(generate_batch)
      779    0.000    0.000    0.047    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:1348(convert)
      847    0.047    0.000    0.047    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    33000    0.024    0.000    0.039    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/container.py:403(__iter__)
    33966    0.014    0.000    0.036    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/__init__.py:1020(device_count)
   128904    0.035    0.000    0.035    0.000 {built-in method builtins.getattr}
    16966    0.030    0.000    0.035    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/__init__.py:2741(__getattr__)
    10355    0.013    0.000    0.034    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:1968(__setattr__)
   211351    0.032    0.000    0.033    0.000 {method 'add' of 'set' objects}
   203592    0.031    0.000    0.031    0.000 {method 'splitlines' of 'str' objects}
   203900    0.031    0.000    0.031    0.000 {method 'rstrip' of 'str' objects}
   158222    0.030    0.000    0.030    0.000 {method 'values' of 'dict' objects}
    51140    0.016    0.000    0.029    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/__init__.py:154(_is_compiled)
     22/3    0.000    0.000    0.029    0.010 <frozen importlib._bootstrap>:1349(_find_and_load)
     22/3    0.000    0.000    0.029    0.010 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     21/3    0.000    0.000    0.028    0.009 <frozen importlib._bootstrap>:911(_load_unlocked)
     20/2    0.000    0.000    0.028    0.014 <frozen importlib._bootstrap_external>:1020(exec_module)
     45/7    0.000    0.000    0.028    0.004 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   107500    0.028    0.000    0.028    0.000 {built-in method torch._C._get_cudnn_enabled}
     23/2    0.001    0.000    0.028    0.014 {built-in method builtins.exec}
        1    0.000    0.000    0.028    0.028 /home/daniel/projects/spinlock/src/spinlock/rollout/__init__.py:1(<module>)
        1    0.000    0.000    0.027    0.027 /home/daniel/projects/spinlock/src/spinlock/rollout/engine.py:1(<module>)
        4    0.013    0.003    0.026    0.006 /home/daniel/projects/spinlock/src/spinlock/dataset/generators.py:292(_generate_structured_batch)
      2/1    0.000    0.000    0.026    0.026 {built-in method builtins.__import__}
        1    0.000    0.000    0.025    0.025 /home/daniel/projects/spinlock/src/spinlock/features/sdf/__init__.py:1(<module>)
       44    0.000    0.000    0.024    0.001 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.022    0.022 /home/daniel/projects/spinlock/src/spinlock/features/sdf/config.py:1(<module>)
   157522    0.022    0.000    0.022    0.000 {built-in method builtins.iter}
    17000    0.010    0.000    0.022    0.000 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:298(_get_scheduled_scale)
   107815    0.021    0.000    0.021    0.000 {built-in method torch._C._has_torch_function_variadic}
   205375    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
       13    0.000    0.000    0.020    0.002 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_model_construction.py:83(__new__)
    17188    0.010    0.000    0.019    0.000 <frozen os>:794(encode)
   203592    0.019    0.000    0.019    0.000 {method 'isspace' of 'str' objects}
       68    0.000    0.000    0.019    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:2894(eval)
  3282/68    0.003    0.000    0.019    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:2872(train)
      106    0.002    0.000    0.019    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/memory.py:227(memory_stats)
   107500    0.019    0.000    0.019    0.000 {built-in method torch._C._has_torch_function_unary}
    16966    0.018    0.000    0.018    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/_utils.py:1015(queue_seed_all)
        5    0.010    0.002    0.018    0.004 /home/daniel/projects/spinlock/src/spinlock/dataset/generators.py:487(_generate_localized_features)
       68    0.015    0.000    0.015    0.000 {method 'repeat' of 'torch._C.TensorBase' objects}
    17000    0.014    0.000    0.014    0.000 {built-in method torch._C._get_privateuse1_backend_name}
   215000    0.014    0.000    0.014    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/instancenorm.py:312(_get_no_batch_dim)
      215    0.000    0.000    0.014    0.000 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:38(_make_norm)
      215    0.000    0.000    0.013    0.000 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:51(<lambda>)
       34    0.000    0.000    0.013    0.000 /home/daniel/projects/spinlock/src/spinlock/execution/memory.py:79(optimize_for_inference)
      215    0.000    0.000    0.013    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/instancenorm.py:22(__init__)
    34352    0.009    0.000    0.013    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/__init__.py:333(is_initialized)
      215    0.001    0.000    0.013    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/batchnorm.py:38(__init__)
    51318    0.013    0.000    0.013    0.000 {built-in method torch._C._cuda_isInBadFork}
       13    0.000    0.000    0.012    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_model_construction.py:584(complete_model_class)
17066/106    0.009    0.000    0.012    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/memory.py:316(_recurse_add_to_result)
     1658    0.012    0.000    0.012    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:479(__init__)
    16979    0.011    0.000    0.011    0.000 {built-in method sys._getframe}
    18/13    0.000    0.000    0.011    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:702(generate_schema)
   189/13    0.000    0.000    0.011    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:1002(_generate_schema_inner)
    25/13    0.000    0.000    0.010    0.001 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:741(_model_schema)
      171    0.000    0.000    0.010    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:1221(_generate_md_field_schema)
    17000    0.010    0.000    0.010    0.000 /home/daniel/projects/spinlock/src/spinlock/rollout/engine.py:459(_postprocess)
      171    0.001    0.000    0.009    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:1261(_common_field_schema)
    17174    0.009    0.000    0.009    0.000 {built-in method torch._C._cuda_getDeviceCount}
        7    0.009    0.001    0.009    0.001 {method 'clear' of 'list' objects}
    17224    0.008    0.000    0.008    0.000 {method 'encode' of 'str' objects}
       88    0.001    0.000    0.008    0.000 /home/daniel/projects/spinlock/src/spinlock/dataset/pipeline.py:432(_map_single_parameter_set)
    34012    0.007    0.000    0.007    0.000 {method '__exit__' of '_thread.lock' objects}
