feature,category,total_ms,count,mean_ms,min_ms,max_ms,ms_per_sample,total_samples
distributional,distributional,3209.72119140625,1,3209.72119140625,3209.72119140625,3209.72119140625,802.4302978515625,4
structural,structural,1118.087158203125,1,1118.087158203125,1118.087158203125,1118.087158203125,279.52178955078125,4
physics,physics,604.32177734375,1,604.32177734375,604.32177734375,604.32177734375,151.0804443359375,4
invariant_drift,invariant_drift,593.701904296875,1,593.701904296875,593.701904296875,593.701904296875,148.42547607421875,4
morphological,morphological,485.40570068359375,1,485.40570068359375,485.40570068359375,485.40570068359375,121.35142517089844,4
cross_channel,cross_channel,341.46820068359375,1,341.46820068359375,341.46820068359375,341.46820068359375,85.36705017089844,4
spatial,spatial,103.06355285644531,1,103.06355285644531,103.06355285644531,103.06355285644531,25.765888214111328,4
spectral,spectral,33.3383674621582,1,33.3383674621582,33.3383674621582,33.3383674621582,8.33459186553955,4
multiscale,multiscale,19.127296447753906,1,19.127296447753906,19.127296447753906,19.127296447753906,4.781824111938477,4
temporal,temporal,16.04198455810547,1,16.04198455810547,16.04198455810547,16.04198455810547,4.010496139526367,4
causality,causality,6.393856048583984,1,6.393856048583984,6.393856048583984,6.393856048583984,1.598464012145996,4
