feature,category,total_ms,count,mean_ms,min_ms,max_ms,ms_per_sample,total_samples
distributional,distributional,8773.880859375,1,8773.880859375,8773.880859375,8773.880859375,2193.47021484375,4
structural,structural,5083.31396484375,1,5083.31396484375,5083.31396484375,5083.31396484375,1270.8284912109375,4
physics,physics,603.0337524414062,1,603.0337524414062,603.0337524414062,603.0337524414062,150.75843811035156,4
invariant_drift,invariant_drift,571.4009399414062,1,571.4009399414062,571.4009399414062,571.4009399414062,142.85023498535156,4
morphological,morphological,496.4607849121094,1,496.4607849121094,496.4607849121094,496.4607849121094,124.11519622802734,4
cross_channel,cross_channel,362.9855041503906,1,362.9855041503906,362.9855041503906,362.9855041503906,90.74637603759766,4
spatial,spatial,105.62662506103516,1,105.62662506103516,105.62662506103516,105.62662506103516,26.40665626525879,4
spectral,spectral,32.888702392578125,1,32.888702392578125,32.888702392578125,32.888702392578125,8.222175598144531,4
multiscale,multiscale,19.479167938232422,1,19.479167938232422,19.479167938232422,19.479167938232422,4.8697919845581055,4
temporal,temporal,15.595775604248047,1,15.595775604248047,15.595775604248047,15.595775604248047,3.8989439010620117,4
causality,causality,6.2391037940979,1,6.2391037940979,6.2391037940979,6.2391037940979,1.559775948524475,4
