feature,category,total_ms,count,mean_ms,min_ms,max_ms,ms_per_sample,total_samples
distributional,distributional,3193.977783203125,1,3193.977783203125,3193.977783203125,3193.977783203125,798.4944458007812,4
structural,structural,1009.5841064453125,1,1009.5841064453125,1009.5841064453125,1009.5841064453125,252.39602661132812,4
invariant_drift,invariant_drift,568.0302124023438,1,568.0302124023438,568.0302124023438,568.0302124023438,142.00755310058594,4
physics,physics,552.255615234375,1,552.255615234375,552.255615234375,552.255615234375,138.06390380859375,4
morphological,morphological,470.9539794921875,1,470.9539794921875,470.9539794921875,470.9539794921875,117.73849487304688,4
cross_channel,cross_channel,341.4474792480469,1,341.4474792480469,341.4474792480469,341.4474792480469,85.36186981201172,4
spatial,spatial,101.17833709716797,1,101.17833709716797,101.17833709716797,101.17833709716797,25.294584274291992,4
spectral,spectral,33.02297592163086,1,33.02297592163086,33.02297592163086,33.02297592163086,8.255743980407715,4
multiscale,multiscale,18.422687530517578,1,18.422687530517578,18.422687530517578,18.422687530517578,4.6056718826293945,4
temporal,temporal,15.28320026397705,1,15.28320026397705,15.28320026397705,15.28320026397705,3.8208000659942627,4
causality,causality,6.259712219238281,1,6.259712219238281,6.259712219238281,6.259712219238281,1.5649280548095703,4
