feature,category,total_ms,count,mean_ms,min_ms,max_ms,ms_per_sample,total_samples
distributional,distributional,3302.792236328125,1,3302.792236328125,3302.792236328125,3302.792236328125,825.6980590820312,4
structural,structural,1231.0794677734375,1,1231.0794677734375,1231.0794677734375,1231.0794677734375,307.7698669433594,4
invariant_drift,invariant_drift,642.3009033203125,1,642.3009033203125,642.3009033203125,642.3009033203125,160.57522583007812,4
physics,physics,602.7908935546875,1,602.7908935546875,602.7908935546875,602.7908935546875,150.69772338867188,4
morphological,morphological,508.1313781738281,1,508.1313781738281,508.1313781738281,508.1313781738281,127.03284454345703,4
cross_channel,cross_channel,343.58233642578125,1,343.58233642578125,343.58233642578125,343.58233642578125,85.89558410644531,4
spatial,spatial,102.9076156616211,1,102.9076156616211,102.9076156616211,102.9076156616211,25.726903915405273,4
spectral,spectral,32.912384033203125,1,32.912384033203125,32.912384033203125,32.912384033203125,8.228096008300781,4
multiscale,multiscale,15.739935874938965,1,15.739935874938965,15.739935874938965,15.739935874938965,3.934983968734741,4
temporal,temporal,15.73692798614502,1,15.73692798614502,15.73692798614502,15.73692798614502,3.934231996536255,4
causality,causality,6.271999835968018,1,6.271999835968018,6.271999835968018,6.271999835968018,1.5679999589920044,4
